district,policy,supply_before,supply_after,gap_before,gap_after,gap_delta
강동구,health_promotion_centers_count +1,34.70467933623486,36.29198092353644,11.761867388760557,10.174565801458975,1.5873015873015817
종로구,medical_institutions_count +10%,34.26225698329131,34.461205932240254,15.310131396600468,15.111182447651522,0.19894894894894577
중구,medical_institutions_count +10%,33.874382588790084,34.12421575528992,-6.2765624993063796,-6.526395665806213,0.24983316649983323
용산구,medical_institutions_count +10%,22.5032633041716,22.638398439306737,8.24644250039276,8.111307365257623,0.13513513513513686
성동구,medical_institutions_count +10%,29.707849040747323,29.90846632469794,9.498425136507809,9.297807852557192,0.20061728395061706
광진구,medical_institutions_count +10%,23.579694423333212,23.82493966857846,31.347035453348266,31.10179020810302,0.24524524524524693
동대문구,medical_institutions_count +10%,31.718312078736787,31.97857233899705,-0.519498581949378,-0.7797588422096418,0.2602602602602637
중랑구,medical_institutions_count +10%,40.23835413063705,40.47484061712353,17.689962958910648,17.453476472424164,0.23648648648648418
성북구,medical_institutions_count +10%,45.73904685497631,45.97261375520988,4.030870606855743,3.7973037066221735,0.23356690023356919
강북구,medical_institutions_count +10%,31.592485374275686,31.791434323224635,39.67000063702611,39.471051688077154,0.19894894894895288
도봉구,medical_institutions_count +10%,37.243119629871735,37.40202853878065,22.937372477005248,22.778463568096335,0.15890890890891285
노원구,medical_institutions_count +10%,66.93935888849595,67.25675962256335,-1.1804425459799859,-1.497843280047391,0.3174007340674052
은평구,medical_institutions_count +10%,40.570071542657715,40.865783921703425,6.042738377219848,5.747025998174138,0.29571237904571035
서대문구,medical_institutions_count +10%,36.96226431259595,37.148283665281966,15.463330436353985,15.277311083667968,0.18601935268601721
마포구,medical_institutions_count +10%,37.029831695065866,37.358493690394525,-1.9478185242547923,-2.276480519583451,0.3286619953286589
양천구,medical_institutions_count +10%,44.3601560171129,44.6433558836461,-6.8547261767620284,-7.137926043295231,0.2831998665332023
강서구,medical_institutions_count +10%,52.2533085419595,52.650789356106976,3.282799780234093,2.885318966086615,0.39748081414747816
구로구,medical_institutions_count +10%,45.20350827170819,45.45792935946261,4.5979329509283176,4.3435118631738945,0.25442108775442307
금천구,medical_institutions_count +10%,20.34950468607255,20.5021573387252,34.02411907855812,33.87146642590547,0.15265265265265526
영등포구,medical_institutions_count +10%,33.114315515774095,33.46049502862027,-2.826304142589244,-3.172483655435421,0.3461795128461773
동작구,medical_institutions_count +10%,35.11423497367353,35.36657064267586,14.672077375700304,14.419741706697977,0.25233566900232773
관악구,medical_institutions_count +10%,36.382131389784334,36.68284877383505,29.186290306150397,28.885572922099684,0.3007173840507136
서초구,medical_institutions_count +10%,50.889848727589424,51.51338893446297,-34.55128167164027,-35.17482187851381,0.6235402068735425
강남구,medical_institutions_count +10%,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0
송파구,medical_institutions_count +10%,48.90661329112853,49.4333900679053,0.16185210999524458,-0.36492466678152624,0.5267767767767708
강동구,medical_institutions_count +10%,34.70467933623486,35.078803460358984,11.761867388760557,11.387743264636434,0.37412412412412266
