district,policy,feature,policy_type,policy_value,supply_before,supply_after,gap_before,gap_after,gap_delta,raw_welfare_budget_per_capita_before,raw_welfare_budget_per_capita_after,raw_public_sports_facilities_count_before,raw_public_sports_facilities_count_after,raw_parks_count_before,raw_parks_count_after,raw_libraries_count_before,raw_libraries_count_after,raw_medical_institutions_count_before,raw_medical_institutions_count_after,raw_health_promotion_centers_count_before,raw_health_promotion_centers_count_after,raw_elderly_leisure_welfare_facilities_count_before,raw_elderly_leisure_welfare_facilities_count_after,raw_in_home_elderly_welfare_facilities_count_before,raw_in_home_elderly_welfare_facilities_count_after,raw_cultural_satisfaction_before,raw_cultural_satisfaction_after
강서구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,52.2533085419595,52.2533085419595,3.282799780234093,3.282799780234093,0.0,,,175.0,176.0,,,,,,,,,,,,,,
구로구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,45.20350827170819,45.20350827170819,4.5979329509283176,4.5979329509283176,0.0,,,167.0,168.0,,,,,,,,,,,,,,
금천구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,20.34950468607255,20.34950468607255,34.02411907855812,34.02411907855812,0.0,,,87.0,88.0,,,,,,,,,,,,,,
영등포구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,33.114315515774095,33.114315515774095,-2.826304142589244,-2.826304142589244,0.0,,,115.0,116.0,,,,,,,,,,,,,,
동작구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,35.11423497367353,35.11423497367353,14.672077375700304,14.672077375700304,0.0,,,128.0,129.0,,,,,,,,,,,,,,
관악구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,36.382131389784334,36.382131389784334,29.186290306150397,29.186290306150397,0.0,,,160.0,161.0,,,,,,,,,,,,,,
서초구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,50.889848727589424,50.889848727589424,-34.55128167164027,-34.55128167164027,0.0,,,195.0,196.0,,,,,,,,,,,,,,
강남구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0,,,298.0,299.0,,,,,,,,,,,,,,
송파구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,48.90661329112853,48.90661329112853,0.16185210999524458,0.16185210999524458,0.0,,,163.0,164.0,,,,,,,,,,,,,,
강동구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,34.70467933623486,34.70467933623486,11.761867388760557,11.761867388760557,0.0,,,68.0,69.0,,,,,,,,,,,,,,
종로구,parks_count +10%,parks_count,pct,0.1,34.26225698329131,34.26225698329131,15.310131396600468,15.310131396600468,0.0,,,,,108.0,118.80000000000001,,,,,,,,,,,,
중구,parks_count +10%,parks_count,pct,0.1,33.874382588790084,33.874382588790084,-6.2765624993063796,-6.2765624993063796,0.0,,,,,73.0,80.30000000000001,,,,,,,,,,,,
용산구,parks_count +10%,parks_count,pct,0.1,22.5032633041716,22.5032633041716,8.24644250039276,8.24644250039276,0.0,,,,,108.0,118.80000000000001,,,,,,,,,,,,
성동구,parks_count +10%,parks_count,pct,0.1,29.707849040747323,29.707849040747323,9.498425136507809,9.498425136507809,0.0,,,,,105.0,115.50000000000001,,,,,,,,,,,,
광진구,parks_count +10%,parks_count,pct,0.1,23.579694423333212,23.579694423333212,31.347035453348266,31.347035453348266,0.0,,,,,68.0,74.80000000000001,,,,,,,,,,,,
동대문구,parks_count +10%,parks_count,pct,0.1,31.718312078736787,31.718312078736787,-0.519498581949378,-0.519498581949378,0.0,,,,,90.0,99.00000000000001,,,,,,,,,,,,
중랑구,parks_count +10%,parks_count,pct,0.1,40.23835413063705,40.23835413063705,17.689962958910648,17.689962958910648,0.0,,,,,109.0,119.9,,,,,,,,,,,,
성북구,parks_count +10%,parks_count,pct,0.1,45.73904685497631,45.739046854976316,4.030870606855743,4.030870606855736,7.105427357601002e-15,,,,,126.0,138.60000000000002,,,,,,,,,,,,
강북구,parks_count +10%,parks_count,pct,0.1,31.592485374275686,31.592485374275686,39.67000063702611,39.67000063702611,0.0,,,,,84.0,92.4,,,,,,,,,,,,
도봉구,parks_count +10%,parks_count,pct,0.1,37.243119629871735,37.243119629871735,22.937372477005248,22.937372477005248,0.0,,,,,81.0,89.10000000000001,,,,,,,,,,,,
노원구,parks_count +10%,parks_count,pct,0.1,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0,,,,,186.0,204.60000000000002,,,,,,,,,,,,
은평구,parks_count +10%,parks_count,pct,0.1,40.570071542657715,40.570071542657715,6.042738377219848,6.042738377219848,0.0,,,,,136.0,149.60000000000002,,,,,,,,,,,,
서대문구,parks_count +10%,parks_count,pct,0.1,36.96226431259595,36.96226431259595,15.463330436353985,15.463330436353985,0.0,,,,,122.0,134.20000000000002,,,,,,,,,,,,
마포구,parks_count +10%,parks_count,pct,0.1,37.029831695065866,37.029831695065866,-1.9478185242547923,-1.9478185242547923,0.0,,,,,145.0,159.5,,,,,,,,,,,,
양천구,parks_count +10%,parks_count,pct,0.1,44.3601560171129,44.3601560171129,-6.8547261767620284,-6.8547261767620284,0.0,,,,,121.0,133.10000000000002,,,,,,,,,,,,
강서구,parks_count +10%,parks_count,pct,0.1,52.2533085419595,52.2533085419595,3.282799780234093,3.282799780234093,0.0,,,,,173.0,190.3,,,,,,,,,,,,
구로구,parks_count +10%,parks_count,pct,0.1,45.20350827170819,45.20350827170819,4.5979329509283176,4.5979329509283176,0.0,,,,,114.0,125.4,,,,,,,,,,,,
금천구,parks_count +10%,parks_count,pct,0.1,20.34950468607255,20.34950468607255,34.02411907855812,34.02411907855812,0.0,,,,,55.0,60.50000000000001,,,,,,,,,,,,
영등포구,parks_count +10%,parks_count,pct,0.1,33.114315515774095,33.114315515774095,-2.826304142589244,-2.826304142589244,0.0,,,,,108.0,118.80000000000001,,,,,,,,,,,,
