district,Need_Index_recomputed,need_factor,contrib_score,contrib_share_pct,rank_in_district
영등포구,30.680959207086694,perceived_stress_rate,7.5,24.44512881548908,1.0
동작구,48.85204000883801,perceived_stress_rate,7.1875,14.71279397687319,2.0
관악구,61.54133021717184,perceived_stress_rate,6.979166666666667,11.340617178793568,4.0
서초구,16.123895065685307,perceived_stress_rate,3.854166666666667,23.90344672280249,2.0
강남구,33.824319783160405,perceived_stress_rate,9.791666666666668,28.948598905872142,1.0
송파구,46.36610979595306,perceived_stress_rate,10.0,21.56747685757502,1.0
강동구,44.57214139916917,perceived_stress_rate,2.2916666666666665,5.141477601768049,10.0
종로구,46.99458823599309,high_risk_drinking_rate,4.431818181818181,9.430486249954749,5.0
중구,25.751992993461695,high_risk_drinking_rate,0.9090909090909088,3.530176904450551,7.0
용산구,28.635825891243528,high_risk_drinking_rate,4.659090909090909,16.270146797182477,2.0
